model,condition,prompt_id,difficulty,n_reps,FV_mean,FV_ci95,VS_mean,VS_ci95,PA_mean,PA_ci95,EC_mean,EC_ci95,CSS_mean,iter_mean,total_tokens_mean,cost_usd_mean,css_per_1k_tokens
qwen3-coder,hpema,state_machine,L3,3,0.6667,0.6533,1.0,0.0,0.9822,0.0027,1.0,0.0,0.8789,3.0,36383.0,0.0,0.0242
qwen3-coder,hpema,xor_checksum,L2,3,0.0,0.0,1.0,0.0,0.9863,0.0027,0.3333,0.0934,0.5799,3.0,59838.0,0.0,0.0097
qwen3-coder,solo,bitfield_extract,L3,3,0.0,0.0,0.5205,0.4768,0.9836,0.0,0.625,0.6166,0.4645,1.0,1245.0,0.0,0.373
qwen3-coder,solo,circular_buffer,L2,3,0.0,0.0,0.7085,0.5714,0.9795,0.0,0.7143,0.28,0.5288,1.0,927.0,0.0,0.5703
qwen3-coder,solo,clamp,L1,3,0.0,0.0,0.7137,0.5611,0.9863,0.0027,1.0,0.0,0.5607,1.0,432.0,0.0,1.2979
qwen3-coder,solo,crc16_ccitt,L3,3,0.0,0.0,0.6578,0.0463,0.9809,0.0027,1.0,0.0,0.5426,1.0,729.0,0.0,0.7442
qwen3-coder,solo,in_range,L1,3,0.0,0.0,0.7193,0.5502,0.985,0.0054,0.0,0.0,0.462,1.0,316.0,0.0,1.4621
qwen3-coder,solo,int_moving_avg,L2,3,0.0,0.0,1.0,0.0,0.9809,0.0027,0.0,0.0,0.5452,1.0,791.0,0.0,0.6893
qwen3-coder,solo,is_zero,L1,3,0.0,0.0,0.4275,0.561,0.985,0.0027,1.0,0.0,0.4745,1.0,408.0,0.0,1.1639
qwen3-coder,solo,rate_limiter,L2,3,0.0,0.0,0.7496,0.4908,0.9822,0.0027,1.0,0.0,0.5704,1.0,825.0,0.0,0.6917
qwen3-coder,solo,safe_divide,L1,3,0.0,0.0,0.7386,0.5124,0.9836,0.0046,0.9524,0.0934,0.5627,1.0,432.0,0.0,1.3026
qwen3-coder,solo,safe_negate,L1,3,0.0,0.0,0.4764,0.5131,0.985,0.0027,1.0,0.0,0.4892,1.0,439.0,0.0,1.1143
qwen3-coder,solo,saturating_add,L2,3,0.0,0.0,0.1467,0.0299,0.9809,0.0027,1.0,0.0,0.3892,1.0,770.0,0.0,0.5053
qwen3-coder,solo,state_machine,L3,3,0.0,0.0,1.0,0.0,0.9809,0.0027,1.0,0.0,0.6452,1.0,740.0,0.0,0.8719
qwen3-coder,solo,xor_checksum,L2,3,0.0,0.0,0.7628,0.4648,0.9863,0.0027,0.2857,0.0,0.504,1.0,630.0,0.0,0.7996
